,time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume
0,20251218  09:30:00,0.63,0.89,0.63,0.86,6,3.19,3.19,3.19,3.19,1,4.05,7
1,20251218  09:31:00,1.0,1.05,0.97,1.0,19,3.19,3.19,3.19,3.19,0,4.1899999999999995,19
2,20251218  09:32:00,0.9,0.9,0.9,0.9,1,3.19,3.19,3.19,3.19,0,4.09,1
3,20251218  09:33:00,0.88,0.88,0.78,0.78,2,2.94,2.94,2.94,2.94,1,3.7199999999999998,3
4,20251218  09:34:00,0.75,0.75,0.75,0.75,1,2.94,2.94,2.94,2.94,0,3.69,1
5,20251218  09:35:00,0.7,0.74,0.68,0.68,8,2.94,2.94,2.94,2.94,0,3.62,8
6,20251218  09:36:00,0.64,0.66,0.64,0.66,2,2.94,2.94,2.94,2.94,0,3.6,2
7,20251218  09:37:00,0.66,0.67,0.66,0.67,8,2.94,2.94,2.94,2.94,0,3.61,8
8,20251218  09:38:00,0.62,0.62,0.62,0.62,1,2.94,2.94,2.94,2.94,0,3.56,1
9,20251218  09:39:00,0.54,0.6,0.54,0.6,2,2.94,2.94,2.94,2.94,0,3.54,2
10,20251218  09:40:00,0.57,0.57,0.57,0.57,1,3.64,3.85,3.64,3.85,3,4.42,4
11,20251218  09:41:00,0.61,0.61,0.49,0.49,5,3.85,3.85,3.85,3.85,0,4.34,5
12,20251218  09:42:00,0.5,0.5,0.44,0.44,2,3.85,3.85,3.85,3.85,0,4.29,2
14,20251218  09:44:00,0.45,0.45,0.45,0.45,2,3.85,3.85,3.85,3.85,0,4.3,2
15,20251218  09:45:00,0.5,0.5,0.5,0.5,1,3.85,3.85,3.85,3.85,0,4.35,1
16,20251218  09:46:00,0.48,0.55,0.44,0.55,5,3.85,3.85,3.85,3.85,0,4.4,5
17,20251218  09:47:00,0.58,0.58,0.58,0.58,2,3.85,3.85,3.85,3.85,0,4.43,2
19,20251218  09:49:00,0.4,0.4,0.4,0.4,1,3.85,3.85,3.85,3.85,0,4.25,1
20,20251218  09:50:00,0.45,0.45,0.45,0.45,1,4.25,4.25,4.25,4.25,2,4.7,3
21,20251218  09:51:00,0.44,0.49,0.44,0.49,2,4.25,4.25,4.25,4.25,0,4.74,2
22,20251218  09:52:00,0.57,0.57,0.57,0.57,1,4.25,4.25,4.25,4.25,0,4.82,1
23,20251218  09:53:00,0.55,0.62,0.55,0.57,4,4.25,4.25,4.25,4.25,0,4.82,4
24,20251218  09:54:00,0.57,0.62,0.56,0.62,7,4.25,4.25,4.25,4.25,0,4.87,7
26,20251218  09:56:00,0.63,0.63,0.63,0.63,2,4.25,4.25,4.25,4.25,0,4.88,2
27,20251218  09:57:00,0.64,0.73,0.64,0.73,8,4.25,4.25,4.25,4.25,0,4.98,8
28,20251218  09:58:00,0.72,0.73,0.72,0.73,2,4.25,4.25,4.25,4.25,0,4.98,2
29,20251218  09:59:00,0.75,0.75,0.7,0.7,3,4.25,4.25,4.25,4.25,0,4.95,3
30,20251218  10:00:00,0.79,0.8,0.79,0.8,6,2.5,2.5,2.5,2.5,1,3.3,7
31,20251218  10:01:00,0.74,0.77,0.74,0.77,2,2.5,2.5,2.5,2.5,0,3.27,2
32,20251218  10:02:00,0.72,0.72,0.72,0.72,1,2.5,2.5,2.5,2.5,0,3.2199999999999998,1
33,20251218  10:03:00,0.7,0.75,0.7,0.75,4,2.5,2.5,2.5,2.5,0,3.25,4
34,20251218  10:04:00,0.79,0.79,0.79,0.79,1,2.5,2.5,2.5,2.5,0,3.29,1
35,20251218  10:05:00,0.68,0.68,0.68,0.68,1,2.5,2.5,2.5,2.5,0,3.18,1
38,20251218  10:08:00,0.68,0.68,0.61,0.62,15,2.5,2.5,2.5,2.5,0,3.12,15
39,20251218  10:09:00,0.54,0.54,0.52,0.54,3,2.5,2.5,2.5,2.5,0,3.04,3
40,20251218  10:10:00,0.5,0.5,0.5,0.5,6,2.5,2.5,2.5,2.5,0,3.0,6
41,20251218  10:11:00,0.44,0.44,0.44,0.44,1,2.5,2.5,2.5,2.5,0,2.94,1
43,20251218  10:13:00,0.36,0.37,0.36,0.37,15,2.5,2.5,2.5,2.5,0,2.87,15
44,20251218  10:14:00,0.36,0.36,0.36,0.36,1,2.5,2.5,2.5,2.5,0,2.86,1
45,20251218  10:15:00,0.43,0.43,0.41,0.41,2,2.5,2.5,2.5,2.5,0,2.91,2
47,20251218  10:17:00,0.36,0.36,0.36,0.36,2,2.5,2.5,2.5,2.5,0,2.86,2
48,20251218  10:18:00,0.34,0.34,0.32,0.32,2,2.5,2.5,2.5,2.5,0,2.82,2
49,20251218  10:19:00,0.33,0.33,0.33,0.33,2,2.5,2.5,2.5,2.5,0,2.83,2
51,20251218  10:21:00,0.42,0.42,0.42,0.42,1,2.5,2.5,2.5,2.5,0,2.92,1
52,20251218  10:22:00,0.45,0.45,0.44,0.45,5,2.5,2.5,2.5,2.5,0,2.95,5
53,20251218  10:23:00,0.51,0.57,0.51,0.57,17,2.5,2.5,2.5,2.5,0,3.07,17
54,20251218  10:24:00,0.54,0.65,0.54,0.65,10,2.5,2.5,2.5,2.5,0,3.15,10
55,20251218  10:25:00,0.67,0.73,0.66,0.7,10,2.5,2.5,2.5,2.5,0,3.2,10
56,20251218  10:26:00,0.8,0.85,0.8,0.85,7,2.2,2.2,2.2,2.2,1,3.0500000000000003,8
57,20251218  10:27:00,0.84,0.88,0.84,0.85,8,2.2,2.2,2.2,2.2,0,3.0500000000000003,8
58,20251218  10:28:00,0.84,0.92,0.83,0.92,18,2.04,2.04,2.04,2.04,5,2.96,23
59,20251218  10:29:00,0.87,0.87,0.87,0.87,1,2.05,2.05,2.05,2.05,6,2.92,7
60,20251218  10:30:00,0.85,0.87,0.79,0.8,6,2.06,2.06,2.06,2.06,2,2.8600000000000003,8
61,20251218  10:31:00,0.94,1.0,0.94,0.98,12,2.06,2.06,2.06,2.06,0,3.04,12
62,20251218  10:32:00,1.0,1.04,0.96,1.04,6,1.79,1.79,1.79,1.79,1,2.83,7
63,20251218  10:33:00,0.97,0.99,0.95,0.95,6,1.79,1.79,1.79,1.79,0,2.74,6
64,20251218  10:34:00,0.95,1.05,0.95,1.03,23,1.84,1.84,1.84,1.84,1,2.87,24
65,20251218  10:35:00,1.09,1.12,0.3,1.09,21,1.84,1.84,1.84,1.84,0,2.93,21
66,20251218  10:36:00,1.05,1.14,1.05,1.14,4,1.6,1.6,1.56,1.56,2,2.7,6
67,20251218  10:37:00,1.15,1.35,1.15,1.35,11,1.56,1.56,1.56,1.56,0,2.91,11
68,20251218  10:38:00,1.45,1.51,1.44,1.51,8,1.28,1.29,1.24,1.25,29,2.76,37
69,20251218  10:39:00,1.55,1.55,1.45,1.45,5,1.3,1.33,1.28,1.3,7,2.75,12
70,20251218  10:40:00,1.31,1.31,1.29,1.29,4,1.25,1.41,1.25,1.41,13,2.7,17
71,20251218  10:41:00,1.34,1.46,1.34,1.46,3,1.41,1.41,1.41,1.41,0,2.87,3
72,20251218  10:42:00,1.5,1.56,1.47,1.56,18,1.2,1.2,1.14,1.14,17,2.7,35
73,20251218  10:43:00,1.48,1.48,1.46,1.46,2,1.17,1.17,1.17,1.17,3,2.63,5
74,20251218  10:44:00,1.46,1.46,1.46,1.46,1,1.22,1.24,1.22,1.24,2,2.7,3
75,20251218  10:45:00,1.53,1.53,1.45,1.45,9,1.2,1.2,1.2,1.2,1,2.65,10
76,20251218  10:46:00,1.45,1.45,1.4,1.4,3,1.2,1.2,1.2,1.2,0,2.5999999999999996,3
77,20251218  10:47:00,1.32,1.32,1.2,1.26,4,1.35,1.37,1.35,1.36,3,2.62,7
78,20251218  10:48:00,1.21,1.25,1.21,1.25,2,1.33,1.33,1.3,1.3,5,2.55,7
79,20251218  10:49:00,1.3,1.3,1.26,1.3,7,1.27,1.28,1.25,1.25,5,2.55,12
80,20251218  10:50:00,1.28,1.28,1.19,1.19,2,1.35,1.36,1.35,1.36,2,2.55,4
81,20251218  10:51:00,1.18,1.18,1.13,1.13,3,1.37,1.37,1.37,1.37,1,2.5,4
82,20251218  10:52:00,1.2,1.38,1.2,1.38,18,1.24,1.24,1.24,1.24,1,2.62,19
83,20251218  10:53:00,1.37,1.37,1.37,1.37,6,1.14,1.14,1.14,1.14,1,2.51,7
84,20251218  10:54:00,1.2,1.2,1.11,1.18,3,1.43,1.43,1.43,1.43,2,2.61,5
86,20251218  10:56:00,1.18,1.18,1.18,1.18,0,1.44,1.44,1.44,1.44,2,2.62,2
88,20251218  10:58:00,1.18,1.18,1.18,1.18,0,1.4,1.4,1.4,1.4,1,2.58,1
90,20251218  11:00:00,1.08,1.13,1.08,1.13,6,1.26,1.26,1.25,1.25,4,2.38,10
91,20251218  11:01:00,1.13,1.13,1.13,1.13,0,1.22,1.26,1.22,1.26,6,2.3899999999999997,6
92,20251218  11:02:00,1.13,1.13,1.13,1.13,1,1.21,1.24,1.21,1.24,2,2.37,3
93,20251218  11:03:00,1.14,1.14,1.14,1.14,1,1.19,1.19,1.19,1.19,1,2.33,2
94,20251218  11:04:00,1.25,1.28,1.25,1.28,3,1.1,1.1,1.1,1.1,2,2.38,5
95,20251218  11:05:00,1.25,1.3,1.25,1.3,6,0.99,0.99,0.99,0.99,1,2.29,7
96,20251218  11:06:00,1.36,1.37,1.31,1.31,14,0.95,1.01,0.95,1.01,18,2.3200000000000003,32
97,20251218  11:07:00,1.35,1.36,1.35,1.36,6,0.98,1.0,0.98,1.0,6,2.3600000000000003,12
98,20251218  11:08:00,1.39,1.39,1.39,1.39,1,0.94,0.96,0.94,0.95,5,2.34,6
99,20251218  11:09:00,1.25,1.29,1.25,1.29,7,1.0,1.0,0.96,0.96,4,2.25,11
100,20251218  11:10:00,1.29,1.29,1.29,1.29,0,0.95,0.95,0.95,0.95,1,2.24,1
101,20251218  11:11:00,1.25,1.3,1.25,1.3,4,0.95,0.95,0.9,0.9,3,2.2,7
102,20251218  11:12:00,1.4,1.4,1.4,1.4,1,0.9,0.9,0.9,0.9,0,2.3,1
103,20251218  11:13:00,1.27,1.27,1.27,1.27,1,0.93,0.93,0.92,0.92,2,2.19,3
104,20251218  11:14:00,1.1,1.1,1.0,1.0,13,0.96,1.11,0.96,1.11,4,2.1100000000000003,17
105,20251218  11:15:00,1.05,1.05,1.05,1.05,1,1.06,1.06,1.06,1.06,10,2.1100000000000003,11
