time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume,turnover,cum_turnover,cum_volume,vwap
20251218  20:47:00,1.68,1.68,1.68,1.68,0,6.08,6.08,6.08,6.08,1,7.76,1,7.76,7.76,1,7.76
20251218  21:01:00,1.68,1.68,1.68,1.68,0,4.18,4.18,4.18,4.18,1,5.859999999999999,1,5.859999999999999,13.62,2,6.81
20251218  21:06:00,2.66,2.66,2.66,2.66,1,4.18,4.18,4.18,4.18,0,6.84,1,6.84,20.46,3,6.82
20251218  21:23:00,2.66,2.66,2.66,2.66,0,3.5,3.55,3.5,3.55,2,6.21,2,12.42,32.88,5,6.5760000000000005
20251218  21:34:00,2.66,2.66,2.66,2.66,0,3.5,3.55,3.5,3.55,2,6.21,2,12.42,45.300000000000004,7,6.471428571428572
20251218  22:01:00,2.66,2.66,2.66,2.66,0,3.5,3.5,3.5,3.5,2,6.16,2,12.32,57.620000000000005,9,6.402222222222223
20251218  22:02:00,2.66,2.66,2.66,2.66,0,3.55,3.55,3.55,3.55,1,6.21,1,6.21,63.830000000000005,10,6.383000000000001
20251218  22:03:00,2.66,2.66,2.66,2.66,0,3.45,3.45,3.45,3.45,1,6.11,1,6.11,69.94000000000001,11,6.358181818181819
20251218  22:09:00,2.95,2.95,2.95,2.95,1,3.45,3.45,3.45,3.45,0,6.4,1,6.4,76.34000000000002,12,6.361666666666668
20251218  22:10:00,2.95,2.95,2.95,2.95,0,3.3,3.3,3.25,3.3,3,6.25,3,18.75,95.09000000000002,15,6.339333333333334
20251218  22:15:00,2.95,2.95,2.95,2.95,0,3.35,3.35,3.35,3.35,1,6.300000000000001,1,6.300000000000001,101.39000000000001,16,6.336875000000001
20251218  22:17:00,2.95,2.95,2.95,2.95,0,3.5,3.5,3.5,3.5,2,6.45,2,12.9,114.29000000000002,18,6.349444444444446
20251218  22:18:00,2.95,2.95,2.95,2.95,0,3.55,3.55,3.55,3.55,1,6.5,1,6.5,120.79000000000002,19,6.357368421052633
20251218  22:19:00,2.95,2.95,2.95,2.95,0,3.5,3.5,3.5,3.5,1,6.45,1,6.45,127.24000000000002,20,6.362000000000001
20251218  22:20:00,2.95,2.95,2.95,2.95,0,3.55,3.55,3.55,3.55,1,6.5,1,6.5,133.74,21,6.368571428571429
20251218  22:22:00,2.95,2.95,2.95,2.95,0,3.5,3.5,3.5,3.5,1,6.45,1,6.45,140.19,22,6.372272727272727
20251218  22:23:00,2.95,2.95,2.95,2.95,0,3.45,3.45,3.45,3.45,1,6.4,1,6.4,146.59,23,6.3734782608695655
20251218  22:26:00,2.95,2.95,2.95,2.95,0,3.55,3.55,3.55,3.55,1,6.5,1,6.5,153.09,24,6.37875
