time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume
20251230  05:38:00,46.0,46.0,46.0,46.0,1,8.9,8.9,8.9,8.9,0,54.9,1
20251230  06:13:00,46.0,46.0,46.0,46.0,0,9.8,9.8,9.8,9.8,1,55.8,1
20251230  06:15:00,46.0,46.0,46.0,46.0,0,9.9,9.9,9.9,9.9,1,55.9,1
20251230  06:25:00,46.0,46.0,46.0,46.0,0,10.6,10.6,10.6,10.6,1,56.6,1
20251230  06:47:00,46.0,46.0,46.0,46.0,0,9.2,9.2,9.0,9.0,2,55.0,2
20251230  06:59:00,46.0,46.0,46.0,46.0,0,8.8,8.8,8.8,8.8,1,54.8,1
20251230  07:05:00,46.0,46.0,46.0,46.0,0,8.6,8.6,8.6,8.6,1,54.6,1
20251230  07:35:00,46.0,46.0,46.0,46.0,0,9.4,9.4,9.4,9.4,1,55.4,1
20251230  08:13:00,46.0,46.0,46.0,46.0,0,8.2,8.2,8.2,8.2,1,54.2,1
20251230  08:33:00,46.0,46.0,46.0,46.0,0,9.1,9.1,9.1,9.1,1,55.1,1
20251230  08:45:00,46.0,46.0,46.0,46.0,0,8.9,8.9,8.9,8.9,9,54.9,9
20251230  09:14:00,46.0,46.0,46.0,46.0,0,8.5,8.5,8.5,8.5,2,54.5,2
20251230  09:30:00,46.0,46.0,46.0,46.0,0,9.2,9.2,9.1,9.1,2,55.1,2
20251230  09:31:00,46.0,46.0,46.0,46.0,0,7.9,7.9,7.9,7.9,1,53.9,1
20251230  09:32:00,46.0,46.0,46.0,46.0,0,7.6,7.9,7.6,7.9,3,53.9,3
20251230  09:33:00,46.0,46.0,46.0,46.0,0,8.5,8.5,8.5,8.5,10,54.5,10
20251230  09:34:00,46.0,46.0,46.0,46.0,0,8.8,8.8,8.5,8.5,8,54.5,8
20251230  09:35:00,46.0,46.0,46.0,46.0,0,8.3,8.3,8.3,8.3,1,54.3,1
20251230  09:36:00,46.0,46.0,46.0,46.0,0,8.8,8.8,8.8,8.8,2,54.8,2
20251230  09:37:00,46.0,46.0,46.0,46.0,0,8.0,8.0,8.0,8.0,1,54.0,1
20251230  09:42:00,46.0,46.0,46.0,46.0,0,7.9,7.9,7.9,7.9,12,53.9,12
20251230  09:44:00,46.0,46.0,46.0,46.0,0,8.2,8.3,8.2,8.3,2,54.3,2
20251230  09:45:00,46.0,46.0,46.0,46.0,0,8.3,8.7,8.3,8.7,14,54.7,14
20251230  09:46:00,46.0,46.0,46.0,46.0,0,8.5,9.1,8.4,8.4,36,54.4,36
20251230  09:47:00,46.0,46.0,46.0,46.0,0,8.0,8.1,8.0,8.1,2,54.1,2
20251230  09:48:00,46.0,46.0,46.0,46.0,0,7.5,7.5,6.6,6.6,6,52.6,6
20251230  09:49:00,46.0,46.0,46.0,46.0,0,6.3,6.3,6.2,6.2,5,52.2,5
20251230  09:50:00,46.0,46.0,46.0,46.0,0,6.3,6.3,6.0,6.0,2,52.0,2
20251230  09:51:00,46.0,46.0,46.0,46.0,0,6.3,6.3,6.3,6.3,1,52.3,1
20251230  09:52:00,46.0,46.0,46.0,46.0,0,6.0,6.0,6.0,6.0,2,52.0,2
20251230  09:53:00,46.0,46.0,46.0,46.0,0,6.5,6.5,6.5,6.5,1,52.5,1
20251230  09:55:00,46.0,46.0,46.0,46.0,0,6.0,6.0,6.0,6.0,1,52.0,1
20251230  09:56:00,46.0,46.0,46.0,46.0,0,5.3,5.3,5.3,5.3,1,51.3,1
20251230  09:58:00,46.0,46.0,46.0,46.0,0,5.3,5.3,5.3,5.3,1,51.3,1
20251230  10:00:00,46.0,46.0,46.0,46.0,0,5.9,6.1,5.9,6.1,39,52.1,39
20251230  10:01:00,46.0,46.0,46.0,46.0,0,6.1,6.1,6.1,6.1,1,52.1,1
20251230  10:02:00,46.0,46.0,46.0,46.0,0,6.1,6.1,6.1,6.1,1,52.1,1
20251230  10:05:00,46.0,46.0,46.0,46.0,0,6.6,6.6,6.6,6.6,11,52.6,11
20251230  10:06:00,46.0,46.0,46.0,46.0,0,6.7,6.7,6.7,6.7,1,52.7,1
20251230  10:07:00,46.0,46.0,46.0,46.0,0,6.9,6.9,6.9,6.9,1,52.9,1
20251230  10:09:00,46.0,46.0,46.0,46.0,0,7.0,7.0,6.9,6.9,2,52.9,2
20251230  10:10:00,46.0,46.0,46.0,46.0,0,7.0,7.0,7.0,7.0,1,53.0,1
20251230  10:11:00,46.0,46.0,46.0,46.0,0,7.2,7.2,7.2,7.2,1,53.2,1
20251230  10:12:00,46.0,46.0,46.0,46.0,0,8.0,8.0,7.8,7.9,62,53.9,62
20251230  10:13:00,46.0,46.0,46.0,46.0,0,8.1,8.6,8.1,8.5,3,54.5,3
